Project_Name,condo_name,Price,Room_Type,Floor,Bedrooms,Bathrooms,Room_Size,Original_Link,district_name,latitude,longitude,district_clean,condo_id,total_problems,total_score,total_unresolved,unique_tickets,unique_unresolved,count_cleanliness,count_environment,count_flood,count_noise,count_other,count_road,count_safety,score_cleanliness,score_environment,score_flood,score_noise,score_other,score_road,score_safety,unresolved_cleanliness,unresolved_environment,unresolved_flood,unresolved_noise,unresolved_other,unresolved_road,unresolved_safety,dist_to_bts_m,nearest_bts,near_bts,norm_safety,risk_safety,norm_environment,risk_environment,norm_other,risk_other,norm_road,risk_road,norm_cleanliness,risk_cleanliness,norm_flood,risk_flood,norm_noise,risk_noise,risk_non_travel,risk_travel_raw,travel_factor,risk_travel_effective,raw_risk,risk_score_0_100,safety_score_0_100,price_per_sqm,price_score_0_100,quality_label,value_index,safety_pct_in_district,price_pct_in_district,value_index_pct_in_district,overall_pct_in_district,overall_score_0_100,Cluster_Label,livability
ขายคอนโด เดอะ เซนต์ เรสิเดนเซส อาคาร C ชั้น 29 2 ห้องนอน ขนาด 57.00 ตรม ใกล้ ห้าแยกลาดพร้าว,The Saint Residences,6790000.0,2 ห้องนอน,29,2 ห้องนอน,2 ห้องน้ำ,57.0,https://propertyhub.in.th/listings/%E0%B8%82%E0%B8%B2%E0%B8%A2%E0%B8%84%E0%B8%AD%E0%B8%99%E0%B9%82%E0%B8%94-%E0%B9%80%E0%B8%94%E0%B8%AD%E0%B8%B0-%E0%B9%80%E0%B8%8B%E0%B8%99%E0%B8%95%E0%B9%8C-%E0%B9%80%E0%B8%A3%E0%B8%AA%E0%B8%B4%E0%B9%80%E0%B8%94%E0%B8%99%E0%B9%80%E0%B8%8B%E0%B8%AA-%E0%B8%AD%E0%B8%B2%E0%B8%84%E0%B8%B2%E0%B8%A3-c-%E0%B8%8A%E0%B8%B1%E0%B9%89%E0%B8%99-29-2-%E0%B8%AB%E0%B9%89%E0%B8%AD%E0%B8%87%E0%B8%99%E0%B8%AD%E0%B8%99-%E0%B8%82%E0%B8%99%E0%B8%B2%E0%B8%94-57-00-%E0%B8%95%E0%B8%A3%E0%B8%A1-%E0%B9%83%E0%B8%81%E0%B8%A5%E0%B9%89-%E0%B8%AB%E0%B9%89%E0%B8%B2%E0%B9%81%E0%B8%A2%E0%B8%81%E0%B8%A5%E0%B8%B2%E0%B8%94%E0%B8%9E%E0%B8%A3%E0%B9%89%E0%B8%B2%E0%B8%A7--c2440a41---4688862,เขตจตุจักร,13.81151,100.561078,จตุจักร,0,10131,13850.749999999998,2179,6395,1364,132.0,40.0,55.0,19.0,9103.0,528.0,254.0,367.25,129.9,242.0,63.9,10455.3,1570.75,1021.65,25.0,4.0,8.0,2.0,1949.0,125.0,66.0,603.662258969957,สถานีห้าแยกลาดพร้าว,False,0.3613086770981508,1.2645803698435278,0.9090909090909091,2.727272727272727,0.5016809038302563,0.5016809038302563,0.4493617021276596,1.123404255319149,0.18591549295774648,0.4647887323943662,0.45454545454545453,1.8181818181818181,0.5135135135135135,1.5405405405405403,8.317045092063236,1.123404255319149,1.0,1.123404255319149,9.440449347382385,59.11908745818576,40.88091254181424,119122.80701754386,11.706835702471091,Bad,29.17407683934315,7.3426573426573425,35.66433566433567,3.4965034965034967,2.4475524475524475,55.104588068528635,Ultra-Luxury,55.104588068528635
ขายคอนโด เดอะ ไลน์ จตุจักร-หมอชิต อาคาร 1 ชั้น 24 1 ห้องนอน ขนาด 40 ตรม ใกล้ ตลาดจตุจักร,THE LINE Jatujak - Mochit,7900000.0,1 ห้องนอน,24,1 ห้องนอน,1 ห้องน้ำ,40.0,https://propertyhub.in.th/listings/%E0%B8%82%E0%B8%B2%E0%B8%A2%E0%B8%84%E0%B8%AD%E0%B8%99%E0%B9%82%E0%B8%94-%E0%B9%80%E0%B8%94%E0%B8%AD%E0%B8%B0-%E0%B9%84%E0%B8%A5%E0%B8%99%E0%B9%8C-%E0%B8%88%E0%B8%95%E0%B8%B8%E0%B8%88%E0%B8%B1%E0%B8%81%E0%B8%A3-%E0%B8%AB%E0%B8%A1%E0%B8%AD%E0%B8%8A%E0%B8%B4%E0%B8%95-%E0%B8%AD%E0%B8%B2%E0%B8%84%E0%B8%B2%E0%B8%A3-1-%E0%B8%8A%E0%B8%B1%E0%B9%89%E0%B8%99-24-1-%E0%B8%AB%E0%B9%89%E0%B8%AD%E0%B8%87%E0%B8%99%E0%B8%AD%E0%B8%99-%E0%B8%82%E0%B8%99%E0%B8%B2%E0%B8%94-40-%E0%B8%95%E0%B8%A3%E0%B8%A1-%E0%B9%83%E0%B8%81%E0%B8%A5%E0%B9%89-%E0%B8%95%E0%B8%A5%E0%B8%B2%E0%B8%94%E0%B8%88%E0%B8%95%E0%B8%B8%E0%B8%88%E0%B8%B1%E0%B8%81%E0%B8%A3--a91108ee---5092033,เขตจตุจักร,13.805826,100.556463,จตุจักร,1,8046,10744.550000000001,1727,5164,1094,85.0,32.0,43.0,9.0,7302.0,393.0,182.0,237.75,96.0,195.6,27.9,8353.6,1110.25,723.45,16.0,0.0,10.0,0.0,1584.0,82.0,35.0,471.0332012597779,สถานีหมอชิต,True,0.25889046941678523,0.9061166429587483,0.7272727272727273,2.1818181818181817,0.40242491044364836,0.40242491044364836,0.334468085106383,0.8361702127659575,0.11971830985915492,0.2992957746478873,0.35537190082644626,1.421487603305785,0.24324324324324326,0.7297297297297298,5.94087284290398,0.8361702127659575,0.0,0.0,5.94087284290398,33.85550778854558,66.14449221145442,197500.0,19.562834736512325,Bad,46.58165747494209,49.3006993006993,79.37062937062937,40.909090909090914,51.74825174825175,70.4322941270644,Ultra-Luxury,70.4322941270644
ขายคอนโด เอ็ม จตุจักร อาคาร B ชั้น 31 2 ห้องนอน ขนาด 56 ตรม ใกล้ ตลาด อ.ต.ก.,M Jatujak,7500000.0,2 ห้องนอน,31,2 ห้องนอน,2 ห้องน้ำ,56.0,https://propertyhub.in.th/listings/%E0%B8%82%E0%B8%B2%E0%B8%A2%E0%B8%84%E0%B8%AD%E0%B8%99%E0%B9%82%E0%B8%94-%E0%B9%80%E0%B8%AD%E0%B9%87%E0%B8%A1-%E0%B8%88%E0%B8%95%E0%B8%B8%E0%B8%88%E0%B8%B1%E0%B8%81%E0%B8%A3-%E0%B8%AD%E0%B8%B2%E0%B8%84%E0%B8%B2%E0%B8%A3-b-%E0%B8%8A%E0%B8%B1%E0%B9%89%E0%B8%99-31-2-%E0%B8%AB%E0%B9%89%E0%B8%AD%E0%B8%87%E0%B8%99%E0%B8%AD%E0%B8%99-%E0%B8%82%E0%B8%99%E0%B8%B2%E0%B8%94-56-%E0%B8%95%E0%B8%A3%E0%B8%A1-%E0%B9%83%E0%B8%81%E0%B8%A5%E0%B9%89-%E0%B8%95%E0%B8%A5%E0%B8%B2%E0%B8%94-%E0%B8%AD-%E0%B8%95-%E0%B8%81--a40d08f0---5394393,เขตจตุจักร,13.797088,100.551662,จตุจักร,2,5755,7754.3,1189,3698,756,58.0,23.0,33.0,8.0,5205.0,274.0,154.0,162.0,69.0,152.4,25.8,5986.3,750.5,608.3,10.0,0.0,9.0,0.0,1114.0,36.0,20.0,426.6325333608844,สถานีสะพานควาย,True,0.21906116642958748,0.7667140825035562,0.5227272727272727,1.5681818181818181,0.2868558831634059,0.2868558831634059,0.23319148936170211,0.5829787234042553,0.08169014084507042,0.20422535211267606,0.2727272727272727,1.0909090909090908,0.21621621621621623,0.6486486486486487,4.565534875519196,0.5829787234042553,0.0,0.0,4.565534875519196,23.92688920648513,76.07311079351487,133928.57142857142,13.190865258585841,Perfect,62.88224553492903,88.46153846153845,45.27972027972028,84.0909090909091,84.79020979020979,79.29391797788466,Ultra-Luxury,79.29391797788466
📌 ขายคอนโด เอ็ม จตุจักร อาคาร A ชั้น 8 1 ห้องนอน ขนาด 28 ตรม ใกล้ ตลาด อ.ต.ก.,M Jatujak,3920000.0,1 ห้องนอน,8,1 ห้องนอน,1 ห้องน้ำ,28.0,https://propertyhub.in.th/listings/%E0%B8%82%E0%B8%B2%E0%B8%A2%E0%B8%84%E0%B8%AD%E0%B8%99%E0%B9%82%E0%B8%94-%E0%B9%80%E0%B8%AD%E0%B9%87%E0%B8%A1-%E0%B8%88%E0%B8%95%E0%B8%B8%E0%B8%88%E0%B8%B1%E0%B8%81%E0%B8%A3-%E0%B8%AD%E0%B8%B2%E0%B8%84%E0%B8%B2%E0%B8%A3-a-%E0%B8%8A%E0%B8%B1%E0%B9%89%E0%B8%99-8-1-%E0%B8%AB%E0%B9%89%E0%B8%AD%E0%B8%87%E0%B8%99%E0%B8%AD%E0%B8%99-%E0%B8%82%E0%B8%99%E0%B8%B2%E0%B8%94-28-%E0%B8%95%E0%B8%A3%E0%B8%A1-%E0%B9%83%E0%B8%81%E0%B8%A5%E0%B9%89-%E0%B8%95%E0%B8%A5%E0%B8%B2%E0%B8%94-%E0%B8%AD-%E0%B8%95-%E0%B8%81--9d9d0866---5615214,เขตจตุจักร,13.797088,100.551662,จตุจักร,3,5755,7754.3,1189,3698,756,58.0,23.0,33.0,8.0,5205.0,274.0,154.0,162.0,69.0,152.4,25.8,5986.3,750.5,608.3,10.0,0.0,9.0,0.0,1114.0,36.0,20.0,426.6325333608844,สถานีสะพานควาย,True,0.21906116642958748,0.7667140825035562,0.5227272727272727,1.5681818181818181,0.2868558831634059,0.2868558831634059,0.23319148936170211,0.5829787234042553,0.08169014084507042,0.20422535211267606,0.2727272727272727,1.0909090909090908,0.21621621621621623,0.6486486486486487,4.565534875519196,0.5829787234042553,0.0,0.0,4.565534875519196,23.92688920648513,76.07311079351487,140000.0,13.799424141309158,Perfect,62.27368665220571,88.46153846153845,47.9020979020979,82.16783216783216,82.51748251748252,79.11135031306766,Ultra-Luxury,79.11135031306766
📌 ขายคอนโด เอ็ม จตุจักร อาคาร B ชั้น 14 1 ห้องนอน ขนาด 33.00 ตรม ใกล้ ตลาด อ.ต.ก.,M Jatujak,5260000.0,1 ห้องนอน,14,1 ห้องนอน,1 ห้องน้ำ,33.0,https://propertyhub.in.th/listings/%E0%B8%82%E0%B8%B2%E0%B8%A2%E0%B8%84%E0%B8%AD%E0%B8%99%E0%B9%82%E0%B8%94-%E0%B9%80%E0%B8%AD%E0%B9%87%E0%B8%A1-%E0%B8%88%E0%B8%95%E0%B8%B8%E0%B8%88%E0%B8%B1%E0%B8%81%E0%B8%A3-%E0%B8%AD%E0%B8%B2%E0%B8%84%E0%B8%B2%E0%B8%A3-b-%E0%B8%8A%E0%B8%B1%E0%B9%89%E0%B8%99-14-1-%E0%B8%AB%E0%B9%89%E0%B8%AD%E0%B8%87%E0%B8%99%E0%B8%AD%E0%B8%99-%E0%B8%82%E0%B8%99%E0%B8%B2%E0%B8%94-33-00-%E0%B8%95%E0%B8%A3%E0%B8%A1-%E0%B9%83%E0%B8%81%E0%B8%A5%E0%B9%89-%E0%B8%95%E0%B8%A5%E0%B8%B2%E0%B8%94-%E0%B8%AD-%E0%B8%95-%E0%B8%81---5582328,เขตจตุจักร,13.797088,100.551662,จตุจักร,4,5755,7754.3,1189,3698,756,58.0,23.0,33.0,8.0,5205.0,274.0,154.0,162.0,69.0,152.4,25.8,5986.3,750.5,608.3,10.0,0.0,9.0,0.0,1114.0,36.0,20.0,426.6325333608844,สถานีสะพานควาย,True,0.21906116642958748,0.7667140825035562,0.5227272727272727,1.5681818181818181,0.2868558831634059,0.2868558831634059,0.23319148936170211,0.5829787234042553,0.08169014084507042,0.20422535211267606,0.2727272727272727,1.0909090909090908,0.21621621621621623,0.6486486486486487,4.565534875519196,0.5829787234042553,0.0,0.0,4.565534875519196,23.92688920648513,76.07311079351487,159393.9393939394,15.743341285409304,Perfect,60.32976950810557,88.46153846153845,57.692307692307686,78.32167832167832,78.67132867132867,78.52817516983762,Ultra-Luxury,78.52817516983762
📌 ขายคอนโด เอ็ม จตุจักร อาคาร B ชั้น 10 1 ห้องนอน ขนาด 34 ตรม ใกล้ ตลาด อ.ต.ก.,M Jatujak,4399900.0,1 ห้องนอน,10,1 ห้องนอน,1 ห้องน้ำ,34.0,https://propertyhub.in.th/listings/%E0%B8%82%E0%B8%B2%E0%B8%A2%E0%B8%84%E0%B8%AD%E0%B8%99%E0%B9%82%E0%B8%94-%E0%B9%80%E0%B8%AD%E0%B9%87%E0%B8%A1-%E0%B8%88%E0%B8%95%E0%B8%B8%E0%B8%88%E0%B8%B1%E0%B8%81%E0%B8%A3-%E0%B8%AD%E0%B8%B2%E0%B8%84%E0%B8%B2%E0%B8%A3-b-%E0%B8%8A%E0%B8%B1%E0%B9%89%E0%B8%99-10-1-%E0%B8%AB%E0%B9%89%E0%B8%AD%E0%B8%87%E0%B8%99%E0%B8%AD%E0%B8%99-%E0%B8%82%E0%B8%99%E0%B8%B2%E0%B8%94-34-%E0%B8%95%E0%B8%A3%E0%B8%A1-%E0%B9%83%E0%B8%81%E0%B8%A5%E0%B9%89-%E0%B8%95%E0%B8%A5%E0%B8%B2%E0%B8%94-%E0%B8%AD-%E0%B8%95-%E0%B8%81--a22408b4---5576595,เขตจตุจักร,13.797088,100.551662,จตุจักร,5,5755,7754.3,1189,3698,756,58.0,23.0,33.0,8.0,5205.0,274.0,154.0,162.0,69.0,152.4,25.8,5986.3,750.5,608.3,10.0,0.0,9.0,0.0,1114.0,36.0,20.0,426.6325333608844,สถานีสะพานควาย,True,0.21906116642958748,0.7667140825035562,0.5227272727272727,1.5681818181818181,0.2868558831634059,0.2868558831634059,0.23319148936170211,0.5829787234042553,0.08169014084507042,0.20422535211267606,0.2727272727272727,1.0909090909090908,0.21621621621621623,0.6486486486486487,4.565534875519196,0.5829787234042553,0.0,0.0,4.565534875519196,23.92688920648513,76.07311079351487,129408.82352941176,12.737836338069947,Perfect,63.335274455444925,88.46153846153845,42.30769230769231,87.41258741258741,88.46153846153845,79.42982665403943,Ultra-Luxury,79.42982665403943
💰Price update!💰 ขายคอนโด เอ็ม จตุจักร อาคาร A ชั้น 20 1 ห้องนอน ขนาด 36 ตรม ใกล้ ตลาด อ.ต.ก.,M Jatujak,3950000.0,1 ห้องนอน,20,1 ห้องนอน,1 ห้องน้ำ,36.0,https://propertyhub.in.th/listings/price-update-%E0%B8%82%E0%B8%B2%E0%B8%A2%E0%B8%84%E0%B8%AD%E0%B8%99%E0%B9%82%E0%B8%94-%E0%B9%80%E0%B8%AD%E0%B9%87%E0%B8%A1-%E0%B8%88%E0%B8%95%E0%B8%B8%E0%B8%88%E0%B8%B1%E0%B8%81%E0%B8%A3-%E0%B8%AD%E0%B8%B2%E0%B8%84%E0%B8%B2%E0%B8%A3-a-%E0%B8%8A%E0%B8%B1%E0%B9%89%E0%B8%99-20-1-%E0%B8%AB%E0%B9%89%E0%B8%AD%E0%B8%87%E0%B8%99%E0%B8%AD%E0%B8%99-%E0%B8%82%E0%B8%99%E0%B8%B2%E0%B8%94-36-%E0%B8%95%E0%B8%A3%E0%B8%A1-%E0%B9%83%E0%B8%81%E0%B8%A5%E0%B9%89-%E0%B8%95%E0%B8%A5%E0%B8%B2%E0%B8%94-%E0%B8%AD-%E0%B8%95-%E0%B8%81--ae220932---5625283,เขตจตุจักร,13.797088,100.551662,จตุจักร,6,5755,7754.3,1189,3698,756,58.0,23.0,33.0,8.0,5205.0,274.0,154.0,162.0,69.0,152.4,25.8,5986.3,750.5,608.3,10.0,0.0,9.0,0.0,1114.0,36.0,20.0,426.6325333608844,สถานีสะพานควาย,True,0.21906116642958748,0.7667140825035562,0.5227272727272727,1.5681818181818181,0.2868558831634059,0.2868558831634059,0.23319148936170211,0.5829787234042553,0.08169014084507042,0.20422535211267606,0.2727272727272727,1.0909090909090908,0.21621621621621623,0.6486486486486487,4.565534875519196,0.5829787234042553,0.0,0.0,4.565534875519196,23.92688920648513,76.07311079351487,109722.22222222222,10.764584745767394,Perfect,65.30852604774748,88.46153846153845,30.944055944055943,95.62937062937063,97.37762237762237,80.0218021317302,Ultra-Luxury,80.0218021317302
🚩 ขายคอนโด ลุมพินี พาร์ค วิภาวดี-จตุจักร อาคาร 1 ชั้น 7 1 ห้องนอน ขนาด 28 ตรม ใกล้ รพ.เปาโลเมโมเรียล,Lumpini Park Vibhavadi - Chatuchak,2600000.0,1 ห้องนอน,7,1 ห้องนอน,1 ห้องน้ำ,28.0,https://propertyhub.in.th/listings/%E0%B8%82%E0%B8%B2%E0%B8%A2%E0%B8%84%E0%B8%AD%E0%B8%99%E0%B9%82%E0%B8%94-%E0%B8%A5%E0%B8%B8%E0%B8%A1%E0%B8%9E%E0%B8%B4%E0%B8%99%E0%B8%B5-%E0%B8%9E%E0%B8%B2%E0%B8%A3%E0%B9%8C%E0%B8%84-%E0%B8%A7%E0%B8%B4%E0%B8%A0%E0%B8%B2%E0%B8%A7%E0%B8%94%E0%B8%B5-%E0%B8%88%E0%B8%95%E0%B8%B8%E0%B8%88%E0%B8%B1%E0%B8%81%E0%B8%A3-%E0%B8%AD%E0%B8%B2%E0%B8%84%E0%B8%B2%E0%B8%A3-1-%E0%B8%8A%E0%B8%B1%E0%B9%89%E0%B8%99-7-1-%E0%B8%AB%E0%B9%89%E0%B8%AD%E0%B8%87%E0%B8%99%E0%B8%AD%E0%B8%99-%E0%B8%82%E0%B8%99%E0%B8%B2%E0%B8%94-28-%E0%B8%95%E0%B8%A3%E0%B8%A1-%E0%B9%83%E0%B8%81%E0%B8%A5%E0%B9%89-%E0%B8%A3%E0%B8%9E-%E0%B9%80%E0%B8%9B%E0%B8%B2%E0%B9%82%E0%B8%A5%E0%B9%80%E0%B8%A1%E0%B9%82%E0%B8%A1%E0%B9%80%E0%B8%A3%E0%B8%B5%E0%B8%A2%E0%B8%A5---5603651,เขตจตุจักร,13.7973381,100.5583606,จตุจักร,7,6210,8379.85,1201,3920,754,66.0,30.0,51.0,12.0,5589.0,293.0,169.0,182.5,91.5,230.4,39.3,6379.2,800.0,656.95,11.0,1.0,12.0,1.0,1120.0,37.0,19.0,789.5134525539972,สถานีหมอชิต,False,0.24039829302987198,0.8413940256045519,0.6818181818181818,2.0454545454545454,0.30801873794433726,0.30801873794433726,0.24936170212765957,0.6234042553191489,0.09295774647887324,0.2323943661971831,0.4214876033057851,1.6859504132231404,0.32432432432432434,0.972972972972973,6.086185061396731,0.6234042553191489,1.0,0.6234042553191489,6.7095893167158795,39.40490208087191,60.59509791912809,92857.14285714286,9.074143404869297,Okay,51.52095451425879,29.02097902097902,21.153846153846153,64.86013986013987,32.34265734265735,69.69432552192887,Ultra-Luxury,69.69432552192887
🚩 ขายคอนโด เดอะ เซนต์ เรสิเดนเซส อาคาร C ชั้น 15 1 ห้องนอน ขนาด 30 ตรม ใกล้ ห้าแยกลาดพร้าว,The Saint Residences,2570000.0,1 ห้องนอน,15,1 ห้องนอน,1 ห้องน้ำ,30.0,https://propertyhub.in.th/listings/%E0%B8%82%E0%B8%B2%E0%B8%A2%E0%B8%84%E0%B8%AD%E0%B8%99%E0%B9%82%E0%B8%94-%E0%B9%80%E0%B8%94%E0%B8%AD%E0%B8%B0-%E0%B9%80%E0%B8%8B%E0%B8%99%E0%B8%95%E0%B9%8C-%E0%B9%80%E0%B8%A3%E0%B8%AA%E0%B8%B4%E0%B9%80%E0%B8%94%E0%B8%99%E0%B9%80%E0%B8%8B%E0%B8%AA-%E0%B8%AD%E0%B8%B2%E0%B8%84%E0%B8%B2%E0%B8%A3-c-%E0%B8%8A%E0%B8%B1%E0%B9%89%E0%B8%99-15-1-%E0%B8%AB%E0%B9%89%E0%B8%AD%E0%B8%87%E0%B8%99%E0%B8%AD%E0%B8%99-%E0%B8%82%E0%B8%99%E0%B8%B2%E0%B8%94-30-%E0%B8%95%E0%B8%A3%E0%B8%A1-%E0%B9%83%E0%B8%81%E0%B8%A5%E0%B9%89-%E0%B8%AB%E0%B9%89%E0%B8%B2%E0%B9%81%E0%B8%A2%E0%B8%81%E0%B8%A5%E0%B8%B2%E0%B8%94%E0%B8%9E%E0%B8%A3%E0%B9%89%E0%B8%B2%E0%B8%A7--aea60949---5517496,เขตจตุจักร,13.81151,100.561078,จตุจักร,8,10131,13850.749999999998,2179,6395,1364,132.0,40.0,55.0,19.0,9103.0,528.0,254.0,367.25,129.9,242.0,63.9,10455.3,1570.75,1021.65,25.0,4.0,8.0,2.0,1949.0,125.0,66.0,603.662258969957,สถานีห้าแยกลาดพร้าว,False,0.3613086770981508,1.2645803698435278,0.9090909090909091,2.727272727272727,0.5016809038302563,0.5016809038302563,0.4493617021276596,1.123404255319149,0.18591549295774648,0.4647887323943662,0.45454545454545453,1.8181818181818181,0.5135135135135135,1.5405405405405403,8.317045092063236,1.123404255319149,1.0,1.123404255319149,9.440449347382385,59.11908745818576,40.88091254181424,85666.66666666667,8.353418767291094,Okay,32.527493774523144,7.3426573426573425,13.986013986013987,13.986013986013987,13.286713286713287,56.11061314908264,Ultra-Luxury,56.11061314908264
🔺 ขายคอนโด เอ็ม จตุจักร อาคาร 1 ชั้น 32 1 ห้องนอน ขนาด 28 ตรม ใกล้ ตลาด อ.ต.ก.,M Jatujak,3700000.0,1 ห้องนอน,32,1 ห้องนอน,1 ห้องน้ำ,28.0,https://propertyhub.in.th/listings/%E0%B8%82%E0%B8%B2%E0%B8%A2%E0%B8%84%E0%B8%AD%E0%B8%99%E0%B9%82%E0%B8%94-%E0%B9%80%E0%B8%AD%E0%B9%87%E0%B8%A1-%E0%B8%88%E0%B8%95%E0%B8%B8%E0%B8%88%E0%B8%B1%E0%B8%81%E0%B8%A3-%E0%B8%AD%E0%B8%B2%E0%B8%84%E0%B8%B2%E0%B8%A3-1-%E0%B8%8A%E0%B8%B1%E0%B9%89%E0%B8%99-32-1-%E0%B8%AB%E0%B9%89%E0%B8%AD%E0%B8%87%E0%B8%99%E0%B8%AD%E0%B8%99-%E0%B8%82%E0%B8%99%E0%B8%B2%E0%B8%94-28-%E0%B8%95%E0%B8%A3%E0%B8%A1-%E0%B9%83%E0%B8%81%E0%B8%A5%E0%B9%89-%E0%B8%95%E0%B8%A5%E0%B8%B2%E0%B8%94-%E0%B8%AD-%E0%B8%95-%E0%B8%81---5435425,เขตจตุจักร,13.797088,100.551662,จตุจักร,9,5755,7754.3,1189,3698,756,58.0,23.0,33.0,8.0,5205.0,274.0,154.0,162.0,69.0,152.4,25.8,5986.3,750.5,608.3,10.0,0.0,9.0,0.0,1114.0,36.0,20.0,426.6325333608844,สถานีสะพานควาย,True,0.21906116642958748,0.7667140825035562,0.5227272727272727,1.5681818181818181,0.2868558831634059,0.2868558831634059,0.23319148936170211,0.5829787234042553,0.08169014084507042,0.20422535211267606,0.2727272727272727,1.0909090909090908,0.21621621621621623,0.6486486486486487,4.565534875519196,0.5829787234042553,0.0,0.0,4.565534875519196,23.92688920648513,76.07311079351487,132142.85714285713,13.011877351902514,Perfect,63.06123344161236,88.46153846153845,44.05594405594406,85.3146853146853,86.01398601398601,79.34761434988965,Ultra-Luxury,79.34761434988965
🔺 ขายคอนโด ยู ดีไลท์ แอท จตุจักร สเตชั่น อาคาร A ชั้น 12 1 ห้องนอน ขนาด 32 ตรม ใกล้ ตลาดนัดสวนจตุจักร,U Delight @ Jatujak Station,2790000.0,1 ห้องนอน,12,1 ห้องนอน,1 ห้องน้ำ,32.0,https://propertyhub.in.th/listings/%E0%B8%82%E0%B8%B2%E0%B8%A2%E0%B8%84%E0%B8%AD%E0%B8%99%E0%B9%82%E0%B8%94-%E0%B8%A2%E0%B8%B9-%E0%B8%94%E0%B8%B5%E0%B9%84%E0%B8%A5%E0%B8%97%E0%B9%8C-%E0%B9%81%E0%B8%AD%E0%B8%97-%E0%B8%88%E0%B8%95%E0%B8%B8%E0%B8%88%E0%B8%B1%E0%B8%81%E0%B8%A3-%E0%B8%AA%E0%B9%80%E0%B8%95%E0%B8%8A%E0%B8%B1%E0%B9%88%E0%B8%99-%E0%B8%AD%E0%B8%B2%E0%B8%84%E0%B8%B2%E0%B8%A3-a-%E0%B8%8A%E0%B8%B1%E0%B9%89%E0%B8%99-12-1-%E0%B8%AB%E0%B9%89%E0%B8%AD%E0%B8%87%E0%B8%99%E0%B8%AD%E0%B8%99-%E0%B8%82%E0%B8%99%E0%B8%B2%E0%B8%94-32-%E0%B8%95%E0%B8%A3%E0%B8%A1-%E0%B9%83%E0%B8%81%E0%B8%A5%E0%B9%89-%E0%B8%95%E0%B8%A5%E0%B8%B2%E0%B8%94%E0%B8%99%E0%B8%B1%E0%B8%94%E0%B8%AA%E0%B8%A7%E0%B8%99%E0%B8%88%E0%B8%95%E0%B8%B8%E0%B8%88%E0%B8%B1%E0%B8%81%E0%B8%A3--9f9b089f---5465126,เขตจตุจักร,13.801438,100.5570635,จตุจักร,10,8053,10754.599999999999,1564,5167,995,77.0,36.0,62.0,12.0,7290.0,374.0,202.0,213.75,109.5,275.6,38.7,8294.3,1035.25,787.5,14.0,1.0,12.0,0.0,1455.0,55.0,27.0,386.56155920012935,สถานีหมอชิต,True,0.28733997155049784,1.0056899004267423,0.8181818181818182,2.4545454545454546,0.4017635712317443,0.4017635712317443,0.31829787234042556,0.7957446808510639,0.10845070422535211,0.27112676056338025,0.512396694214876,2.049586776859504,0.32432432432432434,0.972972972972973,7.155685436599798,0.7957446808510639,0.0,0.0,7.155685436599798,42.62528741909285,57.37471258090715,87187.5,8.50585680114973,Okay,48.868855779757425,23.95104895104895,16.083916083916083,52.09790209790209,22.377622377622377,67.61054176629008,Ultra-Luxury,67.61054176629008
